date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:42:02	99/99	---MCZ	200	added ('OK')	text/plain	etag:W/%225f-5b3442fea19dd%22	https://bitcoineranew.com/robots.txt		(from )
11:42:02	51406/51406	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Nov%202020%2009:01:30%20GMT	https://bitcoineranew.com/	C:/Users/InkyMagician/Desktop/forval/btcnew/bitcoineranew.com/index.html	(from )
11:42:03	54999/54999	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Nov%202020%2009:01:30%20GMT	https://bitcoineranew.com/de/	C:/Users/InkyMagician/Desktop/forval/btcnew/bitcoineranew.com/de/index.html	(from https://bitcoineranew.com/)
11:42:03	54741/54741	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Nov%202020%2009:01:30%20GMT	https://bitcoineranew.com/it/	C:/Users/InkyMagician/Desktop/forval/btcnew/bitcoineranew.com/it/index.html	(from https://bitcoineranew.com/)
11:42:03	55332/55332	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Nov%202020%2009:01:30%20GMT	https://bitcoineranew.com/es/	C:/Users/InkyMagician/Desktop/forval/btcnew/bitcoineranew.com/es/index.html	(from https://bitcoineranew.com/)
11:42:03	52748/52748	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Nov%202020%2009:01:30%20GMT	https://bitcoineranew.com/dk/	C:/Users/InkyMagician/Desktop/forval/btcnew/bitcoineranew.com/dk/index.html	(from https://bitcoineranew.com/)
11:42:03	52453/52453	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Nov%202020%2009:01:30%20GMT	https://bitcoineranew.com/fi/	C:/Users/InkyMagician/Desktop/forval/btcnew/bitcoineranew.com/fi/index.html	(from https://bitcoineranew.com/)
11:42:03	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2009%20Nov%202020%2019:42:05%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/InkyMagician/Desktop/forval/btcnew/www.googletagmanager.com/gtm.45445.delayed	(from https://bitcoineranew.com/)
11:42:03	54444/54444	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Nov%202020%2009:01:30%20GMT	https://bitcoineranew.com/pt/	C:/Users/InkyMagician/Desktop/forval/btcnew/bitcoineranew.com/pt/index.html	(from https://bitcoineranew.com/)
11:42:03	52891/52891	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Nov%202020%2009:01:30%20GMT	https://bitcoineranew.com/se/	C:/Users/InkyMagician/Desktop/forval/btcnew/bitcoineranew.com/se/index.html	(from https://bitcoineranew.com/)
11:42:03	53805/53805	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Nov%202020%2009:01:30%20GMT	https://bitcoineranew.com/pl/	C:/Users/InkyMagician/Desktop/forval/btcnew/bitcoineranew.com/pl/index.html	(from https://bitcoineranew.com/)
